PAIS_HOMENS,PAIS_MULHERES
,
,Norway
,Poland
,Portugal
,Russia
Australia,
Belgium,
Canada,Canada
Colombia,
Ethiopia,Ethiopia
Finland,
Germany,Germany
Greece,
Guatemala,
Ireland,
Italy,
Japan,
Kenya,Kenya
New Zealand,New Zealand
South Korea,
Sweden,
United Kingdom,
United States,United States
Yugoslavia,
